image,xmin,ymin,xmax,ymax,label,score
converted_png/0004_11.png,519,627,1528,2456,1,3.9588756561279297
converted_png/0005_00.png,156,960,1655,3456,1,5.3051066398620605
converted_png/0005_01.png,150,409,1081,1810,1,4.2577009201049805
converted_png/0005_02.png,1283,345,1995,2015,1,4.12896728515625
converted_png/0005_03.png,2114,384,3327,3242,1,5.837826728820801
converted_png/0005_04.png,147,693,1707,2986,1,4.306531429290772
converted_png/0005_05.png,2374,522,3327,3552,1,3.1013779640197754
converted_png/0005_05.png,1854,917,2305,1472,1,3.1013779640197754
converted_png/0005_06.png,2357,533,3327,3530,1,3.6379241943359375
converted_png/0005_06.png,1837,938,2296,1450,1,3.6379241943359375
converted_png/0005_11.png,1273,198,1995,1868,1,7.773984909057617
converted_png/0006_00.png,836,127,1995,2456,1,5.00132417678833
converted_png/0006_00.png,1143,1849,1294,1996,1,5.00132417678833
converted_png/0006_01.png,1447,373,3137,2112,1,4.831349849700928
converted_png/0006_01.png,2565,2325,3327,3498,1,4.831349849700928
converted_png/0006_01.png,1430,2336,2244,3434,1,4.831349849700928
converted_png/0006_01.png,3189,3914,3327,4095,1,4.831349849700928
converted_png/0006_02.png,899,460,1995,1836,1,3.2522764205932617
converted_png/0007_00.png,268,384,563,2602,1,3.0511908531188965
converted_png/0007_00.png,2652,1226,3327,2528,1,3.0511908531188965
converted_png/0007_00.png,225,3072,2799,4095,1,3.0511908531188965
converted_png/0007_01.png,176,211,348,787,1,3.2942068576812744
converted_png/0007_01.png,1590,729,1995,1516,1,3.2942068576812744
converted_png/0007_01.png,129,1874,1673,2456,1,3.2942068576812744
converted_png/0007_02.png,1294,1145,1881,1925,1,6.910521984100342
converted_png/0007_02.png,150,1330,285,1721,1,6.910521984100342
converted_png/0007_02.png,166,1785,1590,2456,1,6.910521984100342
converted_png/0007_03.png,320,640,502,2645,1,6.84055233001709
converted_png/0007_03.png,1707,1461,1863,2272,1,6.84055233001709
converted_png/0007_03.png,2132,1898,3120,3221,1,6.84055233001709
converted_png/0007_03.png,260,3018,2652,4095,1,6.84055233001709
converted_png/0008_00.png,1707,384,3327,3008,1,5.349160671234131
converted_png/0008_01.png,1083,405,1889,1258,1,3.3695855140686035
converted_png/0008_01.png,1620,949,2808,3360,1,3.3695855140686035
converted_png/0008_01.png,719,2144,1300,3072,1,3.3695855140686035
converted_png/0008_02.png,372,2304,883,2944,1,4.1547675132751465
converted_png/0008_03.png,1629,1056,3327,3296,1,7.627837181091309
converted_png/0009_00.png,88,204,332,633,1,3.462031364440918
converted_png/0009_00.png,727,287,1694,1913,1,3.462031364440918
converted_png/0009_01.png,2392,693,3327,2570,1,6.8258442878723145
converted_png/0009_01.png,1421,757,2452,2762,1,6.8258442878723145
converted_png/0009_02.png,1055,371,1995,2105,1,6.838733196258545
converted_png/0009_02.png,888,486,1294,1350,1,6.838733196258545
converted_png/0009_03.png,244,358,1767,2066,1,5.499933242797852
converted_png/0009_03.png,358,1708,712,1868,1,5.499933242797852
converted_png/0009_04.png,1456,704,3327,2997,1,9.43772315979004
converted_png/0009_05.png,847,435,1995,1804,1,9.04975700378418
converted_png/0009_06.png,736,533,1638,1152,1,3.897878170013428
converted_png/0009_06.png,381,810,537,1013,1,3.897878170013428
converted_png/0009_06.png,1689,906,2990,3466,1,3.897878170013428
converted_png/0009_07.png,1100,693,2790,2912,1,3.145838022232056
converted_png/0010_01.png,806,234,3094,3018,1,3.183067560195923
converted_png/0010_01.png,641,1120,814,1269,1,3.183067560195923
converted_png/0010_02.png,587,454,1777,2015,1,4.222816467285156
converted_png/0010_02.png,1814,1881,1995,2009,1,4.222816467285156
converted_png/0011_00.png,268,3456,598,4095,1,4.855496883392334
converted_png/0011_01.png,1568,661,3042,3168,1,5.3397955894470215
converted_png/0011_01.png,3050,2144,3327,2421,1,5.3397955894470215
converted_png/0011_01.png,2868,3050,3327,3509,1,5.3397955894470215
converted_png/0011_02.png,920,575,1834,1970,1,5.346814632415772
converted_png/0011_02.png,1751,1369,1995,2047,1,5.346814632415772
converted_png/0011_05.png,1923,320,3327,3466,1,3.7856600284576416
converted_png/0011_08.png,1138,268,1995,1842,1,3.817661285400391
converted_png/0013_01.png,228,383,1663,1893,1,3.951900005340576
converted_png/0013_01.png,192,1810,493,2021,1,3.951900005340576
converted_png/0013_03.png,502,853,2704,3360,1,4.826500415802002
converted_png/0014_00.png,303,2485,493,2762,1,5.387074947357178
converted_png/0014_04.png,124,358,1148,1964,1,5.361347198486328
converted_png/0014_06.png,1543,230,1995,1522,1,3.265702486038208
converted_png/0014_06.png,836,889,956,1561,1,3.265702486038208
converted_png/0014_06.png,135,1855,1450,2456,1,3.265702486038208
converted_png/0015_01.png,233,970,2461,2730,1,6.1695637702941895
converted_png/0015_03.png,124,575,1481,1874,1,5.0772624015808105
converted_png/0015_03.png,181,1689,332,1874,1,5.0772624015808105
converted_png/0016_00.png,1871,682,3327,3125,1,5.175797462463379
converted_png/0016_01.png,1941,288,3327,2848,1,3.421334743499756
converted_png/0016_02.png,1101,307,1995,1529,1,3.708128929138184
converted_png/0016_03.png,1117,415,1995,1881,1,4.73854398727417
converted_png/0017_00.png,754,917,2530,3146,1,4.783103942871094
converted_png/0017_00.png,1109,3104,1568,3349,1,4.783103942871094
converted_png/0017_01.png,1499,533,3327,3114,1,7.117816925048828
converted_png/0017_02.png,348,454,1507,2041,1,5.573071002960205
converted_png/0017_02.png,493,1740,628,1957,1,5.573071002960205
converted_png/0017_04.png,1315,262,1995,1599,1,8.461941719055176
converted_png/0017_04.png,810,761,1174,1785,1,8.461941719055176
converted_png/0017_06.png,1018,255,1995,1382,1,7.320980548858643
converted_png/0017_06.png,888,1382,1429,1983,1,7.320980548858643
converted_png/0017_07.png,1404,608,3327,2549,1,6.608926296234131
converted_png/0017_07.png,1993,2848,2149,3008,1,6.608926296234131
converted_png/0018_00.png,156,1162,2045,3157,1,13.361286163330078
converted_png/0019_00.png,847,441,1642,1951,1,4.834574222564697
converted_png/0019_00.png,1652,1036,1995,1855,1,4.834574222564697
converted_png/0019_01.png,634,742,1320,1305,1,4.025388717651367
converted_png/0019_01.png,956,2021,1860,2456,1,4.025388717651367
converted_png/0019_02.png,1386,330,3172,2144,1,3.5784926414489746
converted_png/0019_02.png,2738,1642,3327,3381,1,3.5784926414489746
converted_png/0019_02.png,1620,2570,2262,3413,1,3.5784926414489746
converted_png/0019_04.png,1629,469,3327,1792,1,3.294847011566162
converted_png/0019_04.png,1664,1909,3327,3008,1,3.294847011566162
converted_png/0019_06.png,1092,1237,2279,2773,1,5.628119945526123
converted_png/0019_06.png,1681,3466,2998,4095,1,5.628119945526123
converted_png/0019_07.png,868,358,1995,1778,1,3.6383252143859854
converted_png/0019_07.png,1678,1273,1995,1612,1,3.6383252143859854
converted_png/0021_00.png,2340,437,2929,661,1,4.321608066558838
converted_png/0021_00.png,719,1216,1525,2549,1,4.321608066558838
converted_png/0021_00.png,216,2261,589,2773,1,4.321608066558838
converted_png/0021_00.png,606,3285,3111,4095,1,4.321608066558838
converted_png/0021_02.png,251,554,2166,1696,1,3.286348819732666
converted_png/0021_02.png,1880,1898,2634,3072,1,3.286348819732666
converted_png/0021_03.png,171,588,1044,1733,1,3.848481416702272
converted_png/0021_03.png,613,1804,1814,2456,1,3.848481416702272
converted_png/0021_04.png,1447,757,1603,949,1,3.383114814758301
converted_png/0021_04.png,286,1237,3007,3445,1,3.383114814758301
converted_png/0021_04.png,1360,3082,1655,3413,1,3.383114814758301
converted_png/0021_04.png,2825,3861,2946,4095,1,3.383114814758301
converted_png/0021_05.png,1611,358,1814,671,1,6.241357803344727
converted_png/0021_05.png,426,723,909,1701,1,6.241357803344727
converted_png/0021_05.png,431,2015,1866,2456,1,6.241357803344727
converted_png/0022_00.png,857,441,1995,1842,1,4.106722354888916
converted_png/0022_02.png,2288,672,3042,1088,1,4.401034832000732
converted_png/0022_02.png,1430,1301,3327,3136,1,4.401034832000732
converted_png/0023_00.png,208,736,1889,3040,1,3.745585441589356
converted_png/0023_01.png,312,3445,520,3712,1,3.543873310089112
converted_png/0023_02.png,88,447,1107,1855,1,4.184106349945068
converted_png/0023_04.png,145,326,1190,1625,1,4.75816822052002
converted_png/0024_01.png,1170,437,3033,3050,1,4.280218601226807
converted_png/0024_01.png,2955,2442,3327,2976,1,4.280218601226807
converted_png/0024_03.png,675,198,1715,1829,1,4.700021266937256
converted_png/0024_03.png,1762,1433,1995,1791,1,4.700021266937256
converted_png/0025_00.png,914,358,1995,1823,1,4.731539249420166
converted_png/0025_00.png,1746,1369,1995,1913,1,4.731539249420166
converted_png/0025_01.png,1626,281,1814,710,1,3.8996059894561768
converted_png/0025_01.png,103,729,732,1522,1,3.8996059894561768
converted_png/0025_01.png,431,2009,1855,2456,1,3.8996059894561768
converted_png/0025_02.png,1482,533,2972,3136,1,4.183956146240234
converted_png/0025_02.png,2955,2400,3327,3520,1,4.183956146240234
converted_png/0025_03.png,1133,326,1995,2188,1,3.9214162826538086
converted_png/0025_04.png,2582,469,2929,757,1,6.736929416656494
converted_png/0025_04.png,164,565,667,1504,1,6.736929416656494
converted_png/0025_04.png,433,1568,1230,2880,1,6.736929416656494
converted_png/0025_04.png,1057,3349,3102,4095,1,6.736929416656494
converted_png/0025_05.png,265,940,738,1721,1,5.878079891204834
converted_png/0025_05.png,680,2060,1840,2456,1,5.878079891204834
converted_png/0025_06.png,1915,416,3327,3136,1,3.809678077697754
converted_png/0025_06.png,2964,3424,3327,3690,1,3.809678077697754
converted_png/0025_07.png,216,1216,1230,2560,1,5.712296009063721
converted_png/0025_07.png,1707,2048,1897,2496,1,5.712296009063721
converted_png/0025_07.png,632,3349,3102,4095,1,5.712296009063721
converted_png/0026_00.png,1871,757,3327,3861,1,7.276464462280273
converted_png/0026_00.png,2860,3861,3076,4095,1,7.276464462280273
converted_png/0026_02.png,537,586,1941,3104,1,3.601329803466797
converted_png/0026_03.png,1283,371,1995,2041,1,3.375222682952881
converted_png/0026_04.png,93,435,951,1881,1,3.966641664505005
converted_png/0026_05.png,2140,650,3327,3434,1,3.6050071716308594
converted_png/0026_07.png,1143,358,1995,2047,1,5.684370040893555
converted_png/0026_08.png,197,2047,384,2201,1,4.318405628204346
converted_png/0027_01.png,312,3456,520,3712,1,3.828681945800781
converted_png/0027_02.png,1845,501,3327,3008,1,4.315974712371826
converted_png/0027_02.png,2539,3146,2868,3285,1,4.315974712371826
converted_png/0027_03.png,1793,618,3327,1280,1,4.609034538269043
converted_png/0027_03.png,1594,1653,3327,3434,1,4.609034538269043
converted_png/0027_03.png,3007,2965,3327,3594,1,4.609034538269043
converted_png/0027_06.png,1060,473,1995,1964,1,4.726355075836182
converted_png/0027_07.png,1746,383,1995,607,1,3.490814208984375
converted_png/0027_07.png,940,652,1855,2117,1,3.490814208984375
converted_png/0027_07.png,1668,1580,1995,2277,1,3.490814208984375
converted_png/0028_00.png,966,441,1995,1849,1,3.3016629219055176
converted_png/0028_01.png,691,659,1995,2169,1,3.459913969039917
converted_png/0028_03.png,1282,1216,2322,3466,1,3.0814266204833984
converted_png/0028_03.png,2556,1781,3327,3082,1,3.0814266204833984
converted_png/0029_03.png,1170,448,2756,3349,1,3.442879199981689
converted_png/0029_03.png,2730,2773,3154,3050,1,3.442879199981689
converted_png/0029_06.png,727,377,1834,1778,1,4.405946254730225
converted_png/0029_06.png,1600,1465,1995,1810,1,4.405946254730225
converted_png/0030_00.png,1369,565,3327,3114,1,5.635885238647461
converted_png/0030_00.png,2478,2709,3327,3253,1,5.635885238647461
converted_png/0030_01.png,1126,693,2730,2986,1,4.937848567962647
converted_png/0030_01.png,2565,2272,3327,3370,1,4.937848567962647
converted_png/0030_03.png,717,435,1673,1785,1,5.497551441192627
converted_png/0030_03.png,1611,1094,1995,1855,1,5.497551441192627
converted_png/0030_04.png,720,528,1480,1074,1,5.612306118011475
converted_png/0030_05.png,487,390,1004,723,1,4.868462562561035
converted_png/0030_05.png,98,831,959,2060,1,4.868462562561035
converted_png/0030_06.png,826,326,1995,1510,1,4.675353050231934
converted_png/0030_06.png,1367,1452,1995,1977,1,4.675353050231934
converted_png/0030_08.png,1404,501,3327,3402,1,4.011724472045898
converted_png/0030_08.png,3085,3200,3327,3349,1,4.011724472045898
converted_png/0032_00.png,355,458,485,597,1,3.833847999572754
converted_png/0032_01.png,119,377,1044,1721,1,4.254898548126221
converted_png/0032_03.png,1127,364,1995,1855,1,4.606646060943604
converted_png/0032_04.png,972,460,1995,1708,1,3.587122917175293
converted_png/0032_04.png,1829,1407,1995,1938,1,3.587122917175293
converted_png/0032_06.png,1655,298,3327,2773,1,3.893430233001709
converted_png/0032_07.png,1906,330,3327,3061,1,3.867552757263184
converted_png/0033_01.png,436,819,904,1721,1,6.727740287780762
converted_png/0033_01.png,774,2105,1803,2456,1,6.727740287780762
converted_png/0033_02.png,103,524,722,1324,1,6.178565502166748
converted_png/0033_02.png,592,1446,998,1925,1,6.178565502166748
converted_png/0033_02.png,706,1983,1850,2456,1,6.178565502166748
converted_png/0033_04.png,2600,362,2981,970,1,5.19171953201294
converted_png/0033_04.png,719,1557,1508,2880,1,5.19171953201294
converted_png/0033_04.png,970,3242,3128,4095,1,5.19171953201294
converted_png/0033_04.png,684,3925,927,4095,1,5.19171953201294
converted_png/0033_07.png,216,874,1213,2496,1,6.010876178741455
converted_png/0033_07.png,771,2656,3076,4095,1,6.010876178741455
converted_png/0034_02.png,1252,313,1995,1733,1,3.425562858581543
converted_png/0034_02.png,930,326,1231,697,1,3.425562858581543
converted_png/0034_02.png,1767,1970,1995,2329,1,3.425562858581543
converted_png/0034_07.png,1577,522,3327,2890,1,3.43068790435791
converted_png/0034_07.png,2981,2976,3327,3509,1,3.43068790435791
converted_png/0035_00.png,1577,522,3327,2496,1,3.653653621673584
converted_png/0035_00.png,1967,2656,2643,3381,1,3.653653621673584
converted_png/0035_01.png,961,345,1995,2028,1,4.646955490112305
converted_png/0035_02.png,1672,341,3327,1717,1,3.198395013809204
converted_png/0035_02.png,1724,2037,3327,2869,1,3.198395013809204
converted_png/0035_03.png,956,191,1995,1644,1,3.2392351627349854
converted_png/0036_01.png,691,383,1377,1081,1,3.548153877258301
converted_png/0036_01.png,1668,435,1995,1158,1,3.548153877258301
converted_png/0036_01.png,727,1414,1642,2009,1,3.548153877258301
converted_png/0036_01.png,1767,1842,1995,2175,1,3.548153877258301
converted_png/0036_03.png,592,409,1720,1247,1,4.256772518157959
converted_png/0036_03.png,1585,1618,1995,2111,1,4.256772518157959
converted_png/0036_03.png,764,1791,1257,2207,1,4.256772518157959
converted_png/0036_06.png,961,693,1638,1749,1,5.385145664215088
converted_png/0036_06.png,294,2048,1144,3189,1,5.385145664215088
converted_png/0036_06.png,1274,2602,2036,3829,1,5.385145664215088
converted_png/0036_06.png,2608,3456,2998,4095,1,5.385145664215088
converted_png/0036_08.png,156,544,935,1834,1,6.729619026184082
converted_png/0036_08.png,1282,896,2582,2858,1,6.729619026184082
converted_png/0036_08.png,2036,3477,2972,4095,1,6.729619026184082
converted_png/0036_09.png,556,422,1034,1106,1,6.697842121124268
converted_png/0036_09.png,176,1183,712,1906,1,6.697842121124268
converted_png/0036_09.png,769,1561,1226,2297,1,6.697842121124268
converted_png/0036_10.png,691,396,1595,1599,1,4.619472980499268
converted_png/0036_10.png,1626,1638,1995,2348,1,4.619472980499268
converted_png/0036_10.png,930,1682,1486,2181,1,4.619472980499268
converted_png/0036_10.png,686,1817,883,1989,1,4.619472980499268
converted_png/0036_11.png,88,326,556,1100,1,3.4982588291168213
converted_png/0036_11.png,738,806,1538,1714,1,3.4982588291168213
converted_png/0036_11.png,1164,1849,1860,2456,1,3.4982588291168213
converted_png/0037_00.png,868,486,1995,1823,1,4.54352617263794
converted_png/0037_02.png,199,746,2201,3136,1,6.303182125091553
converted_png/0037_03.png,372,3509,520,3648,1,3.2138614654541016
converted_png/0037_04.png,1395,885,3327,3050,1,5.148385524749756
converted_png/0037_05.png,998,351,1995,1638,1,3.76073169708252
converted_png/0037_06.png,1698,576,3327,2720,1,3.094809055328369
converted_png/0037_07.png,124,569,1268,1893,1,4.659681797027588
converted_png/0037_07.png,192,1510,535,1791,1,4.659681797027588
converted_png/0039_00.png,2114,533,3327,3221,1,3.867201805114746
converted_png/0039_04.png,2392,672,3102,1034,1,4.452492713928223
converted_png/0039_04.png,1430,821,3327,3168,1,4.452492713928223
converted_png/0039_06.png,1837,693,3327,3381,1,3.9543981552124015
converted_png/0039_06.png,2955,3722,3327,4095,1,3.9543981552124015
converted_png/0039_07.png,1205,390,1871,639,1,5.071622371673584
converted_png/0039_07.png,935,646,1995,2021,1,5.071622371673584
converted_png/0040_00.png,665,447,1855,2047,1,5.187314987182617
converted_png/0040_00.png,1673,1893,1819,2092,1,5.187314987182617
converted_png/0040_01.png,753,268,1995,2047,1,4.0569257736206055
converted_png/0040_02.png,1118,874,2582,3552,1,4.907349586486816
converted_png/0040_02.png,2660,960,3163,1376,1,4.907349586486816
converted_png/0040_02.png,2678,3125,3327,3658,1,4.907349586486816
converted_png/0040_03.png,1265,512,2617,3050,1,4.0184326171875
converted_png/0040_03.png,2799,2080,3327,3584,1,4.0184326171875
converted_png/0041_00.png,1923,394,3327,3157,1,3.946123600006104
converted_png/0041_01.png,1620,597,3033,3168,1,4.6688103675842285
converted_png/0041_01.png,2808,2581,3327,3072,1,4.6688103675842285
converted_png/0041_02.png,1138,313,1995,1804,1,4.474892616271973
converted_png/0041_03.png,1003,396,1834,1881,1,4.651013851165772
converted_png/0041_03.png,1611,1356,1995,1881,1,4.651013851165772
converted_png/0042_01.png,312,629,1984,3104,1,5.069259643554688
converted_png/0042_03.png,161,332,1070,2015,1,3.759710311889648
converted_png/0043_00.png,1664,725,3327,2890,1,3.567676544189453
converted_png/0043_00.png,2955,2421,3327,3104,1,3.567676544189453
converted_png/0043_02.png,946,467,1762,1849,1,4.140320301055908
converted_png/0043_02.png,1777,1420,1995,1817,1,4.140320301055908
converted_png/0043_02.png,1668,2265,1995,2456,1,4.140320301055908
converted_png/0044_00.png,644,524,1377,2085,1,4.628129482269287
converted_png/0044_00.png,1533,1868,1995,2149,1,4.628129482269287
converted_png/0044_01.png,3120,3488,3327,3680,1,4.958287715911865
converted_png/0044_02.png,743,364,1850,2015,1,3.265333414077759
converted_png/0045_00.png,303,480,2236,2837,1,3.685634613037109
converted_png/0045_00.png,164,2837,780,3349,1,3.685634613037109
converted_png/0045_01.png,233,629,2296,3072,1,4.653443813323975
converted_png/0045_01.png,294,2741,944,3157,1,4.653443813323975
converted_png/0045_02.png,228,390,1351,1804,1,4.748159885406494
converted_png/0045_02.png,535,2028,774,2201,1,4.748159885406494
converted_png/0045_03.png,166,364,1315,1740,1,4.221501350402832
converted_png/0046_00.png,935,480,2149,3274,1,3.0860018730163574
converted_png/0046_00.png,2842,693,3327,1216,1,3.0860018730163574
converted_png/0046_00.png,2695,1920,3327,2752,1,3.0860018730163574
converted_png/0046_01.png,1005,1514,2426,3221,1,3.0235323905944824
converted_png/0046_02.png,294,2005,771,2709,1,4.142627239227295
converted_png/0046_03.png,306,287,675,838,1,4.885126113891602
converted_png/0046_03.png,795,857,1497,2028,1,4.885126113891602
converted_png/0046_03.png,98,1337,483,2009,1,4.885126113891602
converted_png/0046_04.png,857,383,1995,1989,1,4.024453163146973
converted_png/0046_04.png,1715,1657,1995,1951,1,4.024453163146973
converted_png/0046_05.png,1351,236,1803,607,1,4.9842143058776855
converted_png/0046_05.png,597,633,1497,2194,1,4.9842143058776855
converted_png/0046_05.png,1689,1234,1995,1689,1,4.9842143058776855
converted_png/0046_07.png,98,1036,483,2111,1,5.62955379486084
converted_png/0046_07.png,842,1567,1179,2034,1,5.62955379486084
converted_png/0047_00.png,743,454,1751,1977,1,4.9969000816345215
converted_png/0047_00.png,1689,1292,1995,1983,1,4.9969000816345215
converted_png/0047_01.png,940,396,1995,2021,1,4.601453304290772
converted_png/0047_02.png,1534,469,3327,2528,1,3.195053100585937
converted_png/0047_02.png,1499,2240,2331,3349,1,3.195053100585937
converted_png/0047_04.png,1066,821,2288,3189,1,4.08392858505249
converted_png/0047_04.png,312,2282,1291,3402,1,4.08392858505249
converted_png/0047_05.png,1187,746,3024,3114,1,5.612861633300781
converted_png/0048_00.png,1185,390,1995,1887,1,3.929330348968506
converted_png/0048_01.png,2019,650,3327,3264,1,3.5416464805603027
converted_png/0048_02.png,951,627,1995,1983,1,4.2514262199401855
converted_png/0048_03.png,1949,682,2244,1013,1,4.362815380096436
converted_png/0048_03.png,1586,725,3327,3274,1,4.362815380096436
converted_png/0049_00.png,504,479,1330,2169,1,4.088426113128662
converted_png/0049_00.png,233,1644,623,2002,1,4.088426113128662
converted_png/0049_01.png,329,842,2184,3541,1,5.334677219390869
converted_png/0049_01.png,554,2816,935,3285,1,5.334677219390869
converted_png/0049_03.png,1101,377,1995,1996,1,3.419985771179199
converted_png/0049_05.png,1681,693,3327,3456,1,5.559403896331787
converted_png/0049_05.png,2946,2570,3327,3125,1,5.559403896331787
converted_png/0049_06.png,1906,661,3327,3264,1,3.198452949523926
converted_png/0049_07.png,161,1426,395,1810,1,3.740354537963867
converted_png/0049_08.png,1404,800,3033,3424,1,3.648876667022705
converted_png/0049_09.png,346,2496,909,3349,1,5.298840045928955
converted_png/0050_00.png,956,383,1995,2002,1,4.266742706298828
converted_png/0050_00.png,1782,1394,1995,1919,1,4.266742706298828
converted_png/0050_02.png,1404,618,3085,3232,1,5.024730205535889
converted_png/0050_02.png,2686,2336,3327,3424,1,5.024730205535889
converted_png/0050_05.png,852,396,1814,1989,1,5.517349243164063
converted_png/0050_05.png,1616,1318,1995,1913,1,5.517349243164063
converted_png/0050_06.png,1646,618,3327,3402,1,3.886895418167114
converted_png/0050_06.png,2955,2485,3327,2944,1,3.886895418167114
converted_png/0050_07.png,164,938,1724,3178,1,3.7185447216033936
converted_png/0051_02.png,216,1013,1672,4095,1,5.380833148956299
converted_png/0051_06.png,1109,352,1811,1461,1,5.306458950042725
converted_png/0053_01.png,758,403,1840,1855,1,4.65359354019165
converted_png/0053_01.png,1533,1420,1995,1740,1,4.65359354019165
converted_png/0053_02.png,1013,970,1707,3370,1,6.617203235626221
converted_png/0053_03.png,618,601,1049,1919,1,6.279514789581299
converted_png/0054_00.png,686,447,1413,2015,1,4.06282901763916
converted_png/0054_00.png,1502,774,1995,2060,1,4.06282901763916
converted_png/0054_02.png,1005,533,2747,3360,1,4.865906238555908
converted_png/0054_02.png,572,1098,909,1301,1,4.865906238555908
converted_png/0054_02.png,589,2826,806,2986,1,4.865906238555908
converted_png/0054_05.png,1083,629,2990,2069,1,4.771378993988037
converted_png/0054_05.png,2773,2133,3327,3413,1,4.771378993988037
converted_png/0054_05.png,1308,2720,2149,3402,1,4.771378993988037
converted_png/0054_06.png,691,428,1995,1817,1,5.342453002929688
converted_png/0054_06.png,805,1606,1044,2021,1,5.342453002929688
converted_png/0054_07.png,530,486,1626,2041,1,5.405330181121826
converted_png/0055_00.png,213,403,504,806,1,5.305764675140381
converted_png/0055_00.png,644,524,1315,1951,1,5.305764675140381
converted_png/0055_01.png,1230,746,2288,3200,1,3.318298101425171
converted_png/0055_01.png,216,1898,875,3370,1,3.318298101425171
converted_png/0055_02.png,251,416,2184,3146,1,4.680408000946045
converted_png/0055_02.png,208,2165,493,2698,1,4.680408000946045
converted_png/0056_00.png,1647,255,1793,620,1,4.708763122558594
converted_png/0056_00.png,696,966,1205,1446,1,4.708763122558594
converted_png/0056_00.png,473,1983,1871,2456,1,4.708763122558594
converted_png/0056_01.png,2045,234,2851,1066,1,4.346567630767822
converted_png/0056_01.png,1534,1493,3327,3669,1,4.346567630767822
converted_png/0056_02.png,147,1578,935,2869,1,5.798544406890869
converted_png/0056_02.png,1256,1589,2114,2453,1,5.798544406890869
converted_png/0056_02.png,788,3370,3102,4095,1,5.798544406890869
converted_png/0056_03.png,1159,204,1668,614,1,4.801302433013916
converted_png/0056_03.png,904,799,1995,2034,1,4.801302433013916
converted_png/0056_06.png,155,953,701,1708,1,3.437209129333496
converted_png/0056_06.png,826,1318,1995,2456,1,3.437209129333496
converted_png/0056_07.png,1018,287,1995,1759,1,3.79588794708252
converted_png/0057_01.png,996,661,2010,3392,1,4.308298110961914
converted_png/0057_01.png,173,2176,1118,3541,1,4.308298110961914
converted_png/0057_03.png,587,339,1325,2124,1,3.469311475753784
converted_png/0058_03.png,242,650,1741,3072,1,3.678339958190918
converted_png/0058_04.png,109,390,1029,1778,1,3.171814203262329
converted_png/0058_07.png,1733,298,3327,3413,1,3.2074522972106934
converted_png/0059_00.png,398,1056,2678,3168,1,7.045804977416992
converted_png/0059_01.png,1499,1130,2686,3125,1,7.372006416320801
converted_png/0059_01.png,199,1162,1421,2826,1,7.372006416320801
converted_png/0059_02.png,1005,1024,1915,3850,1,3.987449169158936
converted_png/0059_02.png,2149,1749,3327,3605,1,3.987449169158936
converted_png/0059_03.png,1013,569,1632,1836,1,6.867159366607666
converted_png/0059_03.png,259,787,946,1785,1,6.867159366607666
converted_png/0059_04.png,338,2741,875,3360,1,4.237643241882324
converted_png/0059_05.png,1724,757,3327,3392,1,3.8786702156066895
converted_png/0059_06.png,576,633,1995,2456,1,4.168537616729736
converted_png/0059_07.png,696,364,1252,1030,1,4.580277919769287
converted_png/0059_07.png,1315,396,1995,1426,1,4.580277919769287
